Subject_ID,Overall_Status,Sbref_Direction,IntendedFor,DWI_Parameters,File_Properties,Missing_Files,Extra_Files,DWI_Version,ASL_Version,M0scan_Status,Total_Missing_Files,Total_Extra_Files,DWI_Dimensions,DWI_TR,RevB0_Dimensions,RevB0_TR,ASL_Dimensions,ASL_TR,Missing_Files_Detail,Extra_Files_Detail,Property_Issues_Detail,DWI_Parameter_Issues
sub-0641,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0642,HAS ISSUES,INCORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,CORRECT,v1 (DEPRECATED),v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3600.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,"EchoTime: DWI=0.079, RevB0=0.092; RepetitionTime: DWI=3.2, RevB0=3.6; EffectiveEchoSpacing: DWI=0.000670015, RevB0=0.000649996"
sub-0643,HAS ISSUES,INCORRECT,INCORRECT,CORRECT,INCORRECT,INCORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,4,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,"PA_run-01_bold_nii, PA_run-01_bold_json, PA_run-02_sbref_nii, PA_run-02_sbref_json",,,
sub-0644,HAS ISSUES,INCORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0645,HAS ISSUES,INCORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0646,HAS ISSUES,INCORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0647,HAS ISSUES,INCORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0648,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0649,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0650,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0651,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0652,HAS ISSUES,CORRECT,CORRECT,CORRECT,INCORRECT,CORRECT,CORRECT,UNKNOWN,v2 (LATEST),SEPARATE,0,0,104 x 104 x 72 x 105,3200.0 ms,104 x 104 x 72,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
